poemId,topics,topicWords
94,"0,5,2,1","""儒生, 八千, 壯士, 悲歌, 江東""，""伯業, 彭城, 英雄, 落落""，""人, 山, 帳, 曲, 歸""，""長空"""
95,"5,2,3,1,4","""伯業, 子弟, 烈性, 知名, 英雄, 鬢眉""，""冷, 夕陽, 巾幗, 帳, 旌旗, 歌聲, 秋, 美人, 魂""，""鼓角""，""草木""，""下風"""
96,"4,3,2,1","""滿目""，""帝王, 戰場, 歸去, 白骨, 紅顏, 舊跡, 軍, 錦囊""，""恨, 新, 曲, 無心, 美人, 香""，""零落"""
97,"2,1","""夢, 幾多, 新, 樹, 竹, 花, 風, 香, 鸞, 黃鶯""，""春色, 書"""
98,"2,1,3,4,5","""南浦, 天, 新, 曲徑, 獨, 秋, 翠, 西山, 雨""，""古寺, 林, 草木""，""東湖, 蒼松""，""崖, 憶舊""，""欄桿"""
99,"1,2,0,5","""夜, 燭, 腸斷, 蕭蕭""，""不見, 君, 思, 獨, 紛紜, 絮, 落花, 雨""，""臨風""，""涉水, 登山"""
100,"2,5,1,4,3","""人, 寂寂, 庭院, 春光, 曲徑, 東風, 石, 簾, 落花, 金, 香""，""鳥聲""，""寒""，""妝點, 竹影""，""鳳尾"""
101,"0,2,3","""琴""，""夕陽, 春, 景物, 溪水, 芳草""，""無際"""
102,"2,1,4","""人, 夕陽, 天, 明月, 春, 柳色, 歸, 迷離, 鞦韆""，""參差, 書""，""乘興, 燕羽"""
103,"1,4,0,2","""徘徊, 書, 鳥""，""紗窗""，""佇立, 池, 面面""，""曲徑, 松, 竹, 花, 芳草, 陰, 風, 香"""
104,"0,2,3,1,4","""王孫, 稀綠, 萋萋, 院門""，""寂寂, 悲, 春光, 杜宇, 無情, 玉樓, 舊, 芳草, 金谷, 風雨, 香, 黃昏""，""國色, 狼籍""，""寂寞, 疎影, 空山""，""蕭條"""
105,"2,5,4,1","""人, 歸, 火, 石, 翠, 翩翩""，""落暉""，""牧笛, 試聽""，""夜, 林, 浮雲, 漁, 鳥"""
